institution, ror, repository, count 
"University of Auckland",https://ror.org/03b94tp07,"Iowa State University Digital Repository (Iowa State University)",4,
"University of Auckland",https://ror.org/03b94tp07,"Infoscience (Ecole Polytechnique Fédérale de Lausanne)",10,
"University of Auckland",https://ror.org/03b94tp07,"London School of Economics and Political Science Research Online (London School of Economics and Political Science)",6,
"University of Auckland",https://ror.org/03b94tp07,"Digital Commons - UMaine (University of Maine)",1,
"University of Auckland",https://ror.org/03b94tp07,"Spiral (Imperial College London)",20,
"University of Auckland",https://ror.org/03b94tp07,"Archimer (Ifremer)",2,
"University of Auckland",https://ror.org/03b94tp07,"Toulouse 1 Capitole Publications (Université Toulouse I Capitole)",1,
"University of Auckland",https://ror.org/03b94tp07,"St Andrews Research Repository (St Andrews Research Repository)",17,
"University of Auckland",https://ror.org/03b94tp07,"UPCommons institutional repository (Universitat Politècnica de Catalunya)",3,
"University of Auckland",https://ror.org/03b94tp07,"North American Electric Reliability Corporation Open Archive (North American Electric Reliability Corporation)",5,
"University of Auckland",https://ror.org/03b94tp07,"Qucosa (Saxon State and University Library Dresden)",3,
"University of Auckland",https://ror.org/03b94tp07,"Sapientia (Algarve University)",1,
"University of Auckland",https://ror.org/03b94tp07,"Warwick Research Archive Portal (University of Warwick)",10,
"University of Auckland",https://ror.org/03b94tp07,"Open Research Online (The Open University)",20,
"University of Auckland",https://ror.org/03b94tp07,"Lincoln Repository (University of Lincoln)",8,
"University of Auckland",https://ror.org/03b94tp07,"The University of Bath Online Publications Store (The University of Bath)",16,
"University of Auckland",https://ror.org/03b94tp07,"CORE Scholar (Wright State University)",1,
"University of Auckland",https://ror.org/03b94tp07,"Research Explorer (The University of Manchester)",24,
"University of Auckland",https://ror.org/03b94tp07,"Research Portal (King's College London)",12,
"University of Auckland",https://ror.org/03b94tp07,"Open Research (Auckland University of Technology)",20,
"University of Auckland",https://ror.org/03b94tp07,"Bristol Research (University of Bristol)",31,
"University of Auckland",https://ror.org/03b94tp07,"St George's Online Research Archive (St George's University of London)",9,
"University of Auckland",https://ror.org/03b94tp07,"VU Research Portal (Elsevier)",8,
"University of Auckland",https://ror.org/03b94tp07,"King Abdullah University of Science and Technology Repository (King Abdullah University of Science and Technology)",7,
"University of Auckland",https://ror.org/03b94tp07,"IRIS UNIMORE (University of Modena and Reggio Emilia)",1,
"University of Auckland",https://ror.org/03b94tp07,"Aston Publications Explorer (Aston University)",22,
"University of Auckland",https://ror.org/03b94tp07,"Pure (University of Bath)",15,
"University of Auckland",https://ror.org/03b94tp07,"Open Publications Of UTS Scholars (University of Technology Sydney)",21,
"University of Auckland",https://ror.org/03b94tp07,"Open Archive Toulouse Archive Ouverte (University of Toulouse)",2,
"University of Auckland",https://ror.org/03b94tp07,"BOA (University of Milano-Bicocca)",1,
"University of Auckland",https://ror.org/03b94tp07,"Open Access Repository (University of Tasmania)",7,
"University of Auckland",https://ror.org/03b94tp07,"LUTPub (LUT University)",3,
"University of Auckland",https://ror.org/03b94tp07,"Institutional Research Information System University of Ferrara (University of Ferrara)",2,
"University of Auckland",https://ror.org/03b94tp07,"Boloka Institutional Repository (North-west University)",2,
"University of Auckland",https://ror.org/03b94tp07,"Research Open (London South Bank University)",8,
"University of Auckland",https://ror.org/03b94tp07,"Technical University of Denmark, DTU Orbit (Technical University of Denmark, DTU)",20,
"University of Auckland",https://ror.org/03b94tp07,"PsyArXiv (OSF Preprints)",16,
